Timestamp,1. Age,2. Gender,3. Education,4. Daily internet usage,5. I spend a lot of time online daily,6. I frequently use social media.,"7. I use the internet for study, communication, and entertainment",8. I often use public Wi-Fi,"9. I download software, audio/video/images or files regularly",10. I know the cyber threats,11. I understand risks of unknown links,12. I know how sensitive information can be stolen,13. I know how the social media privacy settings,14. I know strong passwords are important,15. I know public Wi-Fi is risky,16. I know about computer viruses,17. I can spot suspicious messages,18. I know about ecommerce and online transaction,19. I know how to change privacy setting.,"20. I can identify fake software/Apps, websites and weblinks",21. I know how to secure my accounts,22. I know how to protect my personal information,23. I use strong passwords,24. I avoid unknown links.,"25. I don't share OTP, passwords and sensitive information to other",26. I update softwares / apps regularly,27. I use two-factor authentication (2FA) and secure privacy settings,28. I log-out the account from shared devices,29. I avoid unsafe downloads,30. I use antivirus and secure VPN,31. I share cyber knowledge to people who don't know about it.,"32. Even if I know risks, I ignore them.",33. I keep same password on multiple platforms,34. I click on links without checking them,35. I accept terms and conditions of software/apps without studying properly,36. Cybersecurity is not important for me,37. I receive suspicious messages or links,"38. I have faced cyber risks (fraud, scams, hacking)",39. Cyber incidents affected me or someone I know,40. I feel unsafe using the internet sometimes,41. Cybersecurity awareness is important,College name,Faculty,Scheme
29/04/2026 19:41:50,19,Male,11th,2-4 Hours,Neutral,Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:00:57,18,Male,11th,More than 6 Hours,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Alliance,,Non-Technical
30/04/2026 09:05:20,18,Male,11th,4-6 Hours,Agree,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:08:20,18,Male,11th,More than 6 Hours,Strongly agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Strongly disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:11:01,18,Male,11th,More than 6 Hours,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:13:44,17,Male,11th,0-2 Hours,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:14:26,17,Female,11th,4-6 Hours,Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:17:22,16,Male,11th,4-6 Hours,Strongly agree,Strongly Agree,Neutral,Strongly disagree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:18:37,16,Male,11th,2-4 Hours,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:20:03,18,Male,11th,2-4 Hours,Disagree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:22:16,18,Male,11th,More than 6 Hours,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:23:00,18,Female,11th,4-6 Hours,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree,Alliance,Management,Non-Technical
30/04/2026 09:25:30,18,Male,11th,More than 6 Hours,Neutral,Disagree,Neutral,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Agree,Strongly Agree,Strongly disagree,Neutral,Disagree,Strongly agree,Strongly disagree,Disagree,Agree,Alliance,Management,Non-Technical
30/04/2026 09:28:14,17,Female,11th,0-2 Hours,Agree,,,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,,Disagree,Strongly disagree,,Strongly disagree,,,,,Disagree,Disagree,,Neutral,,Neutral,Strongly disagree,Neutral,Strongly Agree,Disagree,Agree,Agree,Strongly agree,Disagree,Neutral,Disagree,Alliance,Management,Non-Technical
30/04/2026 09:28:24,18,Male,11th,0-2 Hours,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:30:37,16,Female,11th,2-4 Hours,Disagree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Alliance,Management,Non-Technical
30/04/2026 09:30:47,19,Male,11th,2-4 Hours,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:33:02,16,Female,11th,4-6 Hours,,Agree,Agree,Strongly Agree,Agree,,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,Strongly Agree,Neutral,,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Alliance,Management,Non-Technical
30/04/2026 09:33:03,17,Male,11th,0-2 Hours,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:35:19,16,Male,11th,More than 6 Hours,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Agree,Agree,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:36:00,17,Male,11th,More than 6 Hours,Disagree,Agree,,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,,Agree,,Agree,Agree,Agree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Agree,,Agree,Agree,Agree,Agree,Agree,Alliance,Management,Non-Technical
30/04/2026 09:39:04,17,Female,11th,4-6 Hours,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:41:36,18,Female,11th,2-4 Hours,Neutral,Agree,Neutral,Strongly disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:44:35,19,Male,11th,More than 6 Hours,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Strongly disagree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Agree,Neutral,Agree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 09:47:25,17,Male,11th,More than 6 Hours,Neutral,Agree,Agree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Alliance,Management,Non-Technical
30/04/2026 09:49:32,18,Male,11th,0-2 Hours,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Strongly Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Neutral,Alliance,Management,Non-Technical
30/04/2026 09:52:00,18,Male,11th,More than 6 Hours,Strongly agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Alliance,Management,Non-Technical
30/04/2026 09:54:23,17,Male,11th,4-6 Hours,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Alliance,Management,Non-Technical
30/04/2026 10:03:00,19,Male,11th,2-4 Hours,Disagree,Agree,Disagree,Strongly disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Alliance,Management,Non-Technical
30/04/2026 10:06:00,18,Male,11th,4-6 Hours,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Alliance,Management,Non-Technical
30/04/2026 10:09:45,18,Male,11th,4-6 Hours,Neutral,Agree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,Alliance,Management,Non-Technical
30/04/2026 10:13:01,16,Female,11th,4-6 Hours,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Alliance,Management,Non-Technical
30/04/2026 10:16:34,17,Male,11th,0-2 Hours,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Alliance,Management,Non-Technical
01/05/2026 08:31:52,18,Male,11th,4-6 Hours,Strongly agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
01/05/2026 08:37:31,18,Male,11th,2-4 Hours,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Alliance,Management,Non-Technical
01/05/2026 08:42:23,16,Female,11th,4-6 Hours,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Alliance,Management,Non-Technical
01/05/2026 08:45:53,17,Male,11th,2-4 Hours,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Alliance,Management,Non-Technical
01/05/2026 08:48:23,16,Female,11th,0-2 Hours,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Alliance,Management,Non-Technical
02/05/2026 05:58:53,18,Male,11th,2-4 Hours,Agree,Agree,Neutral,Agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:01:04,18,Male,11th,2-4 Hours,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Alliance,Management,Non-Technical
02/05/2026 06:03:42,18,Male,11th,More than 6 Hours,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly disagree,Disagree,Neutral,Disagree,Alliance,Management,Non-Technical
02/05/2026 06:06:12,18,Female,11th,2-4 Hours,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Alliance,Management,Non-Technical
02/05/2026 06:08:31,17,Male,11th,4-6 Hours,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Neutral,Alliance,Management,Non-Technical
02/05/2026 06:10:46,20,Male,11th,More than 6 Hours,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Disagree,Neutral,Disagree,Strongly Agree,Alliance,Management,Non-Technical
